jd_hash,n_score_events,ceiling_hit_events,min_score,max_score,extracted_years,extracted_degrees,extracted_seniority,source,excerpt_first_120
e528c43d0f616ed8,66,0,40,88,,,,excerpt_240,Merloop is a German Digital Product Passport-as-a-Service (DPPaaS) platform built for EU ESPR compliance. We help brands
9be9615c110f6e8a,44,0,37,72,,,mid,excerpt_240,"Mid-Level Backend & Data EngineerLocation: Hyderabad, India (Hybrid)Experience Level: 3+ Years (Full-Time)About the Role"
325092716aaab940,36,0,20,73,,,senior,excerpt_240,"Senior Financial Analyst & Corporate Accountant Location: Hyderabad, India (In-Office)  Experience Level: 5+ Years  Abou"
a0df1ac6af5aa940,29,7,26,62,,,lead,excerpt_240,"Job Title: Senior Backend Engineer  We are a leading healthtech company providing secure, scalable data infrastructure f"
d2fa341f65ed0219,29,7,34,74,,,,excerpt_240,"Job Title: Product Designer  We are a well-funded, innovative edtech platform systematically transforming how university"
98898065c2a1dd7b,29,7,23,61,,,,excerpt_240,"Job Title: DevOps Engineer  We are a fast-paced cloud infrastructure company delivering high-availability, low-latency h"
c489d46a470d66b8,29,0,23,58,,,,excerpt_240,Job Title: Data Analyst  We are a fast-growing direct-to-consumer lifestyle brand leveraging data to optimize our multi-
da0dde82ea9194c3,29,8,33,75,,,lead,excerpt_240,Job Title: Director of FP&A  We are a scaling global SaaS company providing mission-critical enterprise resource plannin
f4b0dd544f11bfa8,29,0,28,68,,,senior,excerpt_240,Job Title: Senior Data Engineer  We are a global fintech organization that processes billions of transactional events da
fbb8d6874a197ee4,29,0,25,71,,,junior,excerpt_240,Job Title: Junior Frontend Developer  We are a fast-growing e-commerce startup building the next generation of online re
93332a1bf429ae28,29,0,23,71,,,,excerpt_240,Job Title: Full Stack Engineer  We are an established B2B SaaS platform optimizing supply chain logistics and inventory 
27f0f933705c8220,29,0,22,61,,,,excerpt_240,"Job Title: AI Engineer, LLMs  We are a Series B enterprise software company revolutionizing customer support workflow or"
03032fcbfa879876,29,0,25,64,,,,excerpt_240,Job Title: Growth Marketing Manager  We are a rapidly expanding consumer subscription application focused on personal we
b41af77d86b58c91,29,0,25,61,,,,excerpt_240,Job Title: Machine Learning Engineer  We are an autonomous vehicle startup focused on creating advanced perception syste
cee8ff7a4b5f3e8c,29,0,28,65,,,junior,excerpt_240,"Job Title: Junior iOS Developer  We are an award-winning digital product agency creating high-impact, award-winning mobi"
a989bc59b93133d0,28,0,36,84,,,mid,excerpt_240,"Location: Hyderabad, India (Hybrid)Experience Level: Mid-Level (2-3 Years)About the RoleWe are looking for a versatile B"
62f92f0c52199d37,15,0,6,23,,,,excerpt_240,We are looking for a skilled and detail-oriented Research Paper Writer to prepare high-quality academic and research-bas
94af502d7b8a43d4,12,0,47,93,,,,excerpt_240,"Backend Software Engineer (Python/Django)Location: Hyderabad, India  (or Remote) Job Type: Full-time  About the RoleWe a"
7c42f4fb5bf63823,12,0,12,41,,,,excerpt_240,Job Summary  We are looking for a skilled and detail-oriented Research Paper Writer to prepare high-quality academic and
8581dce54751e602,12,0,28,37,,,,excerpt_240,"""C:\Users\vamsh\Downloads\Tailored_Resume (3).pdf"""
88a2a211a6570b89,12,0,27,47,,,,excerpt_240,"As a Senor Software Engineer, you will be responsible for:   Design, develop, and optimize Windows desktop applications "
391034739e679459,8,2,27,45,,,lead,excerpt_240,"Baker Hughes is the leading energy technology company, who delivers across the energy value chain through our market-lea"
de36d7831ff2fb1c,4,0,42,77,,,mid,excerpt_240,"Backend Software Engineer (Python)Location: Hyderabad, India (Hybrid)Experience Level: Mid-Level (2-3 Years)About the Ro"
c84df658bba245e8,4,0,30,40,,,,excerpt_240,"Tailor your resume to this JD  Review per-section edit suggestions, accept the ones that fit, and download a tailored co"
91e0278f66d44fca,4,0,35,58,,,,excerpt_240,Merloop is a German Digital Product Passport-as-a-Service (DPPaaS) platform built for EU ESPR compliance. We help brands
7bb0d830a1315830,2,0,83,83,,,,excerpt_240,Merloop is a German Digital Product Passport-as-a-Service (DPPaaS) platform built for EU ESPR compliance. We help brands
