resume_id,jd_hash,n_events,min_score,max_score,range,stdev
,325092716aaab940,27,20.0,57.0,37.0,10.873
73d86d9f-2470-457e-b204-63649e0cc91f,325092716aaab940,9,40.0,73.0,33.0,15.245
,fbb8d6874a197ee4,21,36.0,62.0,26.0,5.859
,e528c43d0f616ed8,33,40.0,66.0,26.0,8.907
fb21f42b-6288-4fe3-8edd-eeb91c807ca0,e528c43d0f616ed8,11,65.0,88.0,23.0,10.544
,da0dde82ea9194c3,21,43.0,65.0,22.0,4.676
,a989bc59b93133d0,21,36.0,57.0,21.0,5.789
,98898065c2a1dd7b,21,37.0,57.0,20.0,4.344
,cee8ff7a4b5f3e8c,21,36.0,56.0,20.0,5.46
,03032fcbfa879876,21,38.0,57.0,19.0,4.663
1d70ea51-90e9-4225-95c7-015b0de70eb9,e528c43d0f616ed8,17,64.0,83.0,19.0,4.741
,93332a1bf429ae28,21,37.0,55.0,18.0,5.126
,94af502d7b8a43d4,9,47.0,65.0,18.0,7.587
,d2fa341f65ed0219,21,49.0,66.0,17.0,4.313
,7c42f4fb5bf63823,9,12.0,28.0,16.0,6.944
,a0df1ac6af5aa940,21,38.0,53.0,15.0,4.019
,c489d46a470d66b8,21,38.0,53.0,15.0,3.897
,91e0278f66d44fca,3,35.0,49.0,14.0,5.715
,f4b0dd544f11bfa8,21,40.0,52.0,12.0,3.308
,27f0f933705c8220,21,36.0,48.0,12.0,3.637
,b41af77d86b58c91,21,40.0,51.0,11.0,2.787
,de36d7831ff2fb1c,3,42.0,53.0,11.0,4.497
,9be9615c110f6e8a,33,37.0,47.0,10.0,3.962
,88a2a211a6570b89,9,27.0,36.0,9.0,3.859
,c84df658bba245e8,3,30.0,39.0,9.0,3.742
5b691e71-227b-44ab-81ce-a9b648bda5a8,a989bc59b93133d0,7,76.0,84.0,8.0,3.399
,391034739e679459,6,27.0,35.0,8.0,3.559
,8581dce54751e602,9,28.0,34.0,6.0,2.828
6eadddcf-e238-4a1e-8492-3d95dec76596,9be9615c110f6e8a,11,67.0,72.0,5.0,2.061
,62f92f0c52199d37,12,6.0,9.0,3.0,1.299
42a66357-7f33-463a-804f-710ecacdafd4,94af502d7b8a43d4,3,93.0,93.0,0.0,0.0
d4d70f71-78ad-43e0-8ab9-ffae60dcc3fa,62f92f0c52199d37,3,23.0,23.0,0.0,0.0
e22b1791-8da2-4bdc-a715-8015e95c2046,7c42f4fb5bf63823,3,41.0,41.0,0.0,0.0
a8e62fec-b6b3-4a96-8d05-a70163631f76,8581dce54751e602,3,37.0,37.0,0.0,0.0
abcd5593-b76f-4b1a-9e9c-496212c3185d,88a2a211a6570b89,3,47.0,47.0,0.0,0.0
6a4359f9-5b97-4690-96fb-aa34f727377f,391034739e679459,2,45.0,45.0,0.0,0.0
3e04f80b-914a-48bf-9d8f-6906c872678a,e528c43d0f616ed8,5,83.0,83.0,0.0,0.0
77e33b2c-80dc-41e1-9d28-1a9a0f510e0c,7bb0d830a1315830,2,83.0,83.0,0.0,0.0
